======================================
 城市急救车辆调度与医院接收匹配系统
 基线模型：Dijkstra + 在线最近车辆 + 最近医院
======================================

请输入路口数量 n 和道路数量 m：200 549

请输入每条道路信息：
格式：起点 终点 基础通行时间 拥堵系数
说明：实际通行时间 = 基础通行时间 × 拥堵系数
第 234 条道路：81 82 11 2
第 235 条道路：82 83 7 1
第 236 条道路：82 95 2 1
第 237 条道路：82 98 14 1
第 238 条道路：82 104 7 1
第 239 条道路：83 84 4 2
第 240 条道路：83 97 11 1
第 241 条道路：84 85 9 1
第 242 条道路：84 87 6 1
第 243 条道路：85 86 10 1
第 244 条道路：85 100 3 1
第 245 条道路：85 102 6 1
第 246 条道路：85 108 4 1
第 247 条道路：85 111 8 1
第 248 条道路：86 87 5 3
第 249 条道路：86 112 6 1
第 250 条道路：86 114 7 3
第 251 条道路：87 88 12 2
第 252 条道路：87 116 4 1
第 253 条道路：87 117 9 2
第 254 条道路：88 89 4 1
第 255 条道路：88 90 7 1
第 256 条道路：88 94 8 1
第 257 条道路：88 104 15 1
第 258 条道路：88 114 9 1
第 259 条道路：89 90 3 1
第 260 条道路：89 93 11 1
第 261 条道路：90 91 5 2
第 262 条道路：90 119 8 2
第 263 条道路：91 92 6 1
第 264 条道路：91 96 15 1
第 265 条道路：91 119 8 1
第 266 条道路：92 93 2 1
第 267 条道路：92 106 14 2
第 268 条道路：92 121 13 1
第 269 条道路：93 94 2 1
第 270 条道路：93 99 12 1
第 271 条道路：93 103 8 1
第 272 条道路：93 107 4 2
第 273 条道路：94 95 7 2
第 274 条道路：94 99 8 1
第 275 条道路：94 124 2 1
第 276 条道路：95 96 4 2
第 277 条道路：95 119 15 1
第 278 条道路：96 97 5 2
第 279 条道路：97 98 4 2
第 280 条道路：97 116 15 1
第 281 条道路：97 119 4 2
第 282 条道路：97 124 8 1
第 283 条道路：97 126 4 2
第 284 条道路：98 99 4 3
第 285 条道路：99 100 11 1
第 286 条道路：99 121 6 1
第 287 条道路：99 123 2 1
第 288 条道路：100 101 5 1
第 289 条道路：101 102 4 1
第 290 条道路：101 104 12 1
第 291 条道路：101 117 7 3
第 292 条道路：101 127 2 1
第 293 条道路：101 131 11 1
第 294 条道路：102 103 7 1
第 295 条道路：102 123 6 2
第 296 条道路：103 104 8 3
第 297 条道路：103 109 5 1
第 298 条道路：103 111 12 2
第 299 条道路：104 105 2 1
第 300 条道路：104 106 7 1
第 301 条道路：104 111 5 1
第 302 条道路：104 118 14 1
第 303 条道路：104 126 15 2
第 304 条道路：105 106 12 1
第 305 条道路：105 120 9 1
第 306 条道路：106 107 12 3
第 307 条道路：106 108 13 2
第 308 条道路：106 116 2 2
第 309 条道路：106 133 10 1
第 310 条道路：107 108 11 2
第 311 条道路：107 116 4 1
第 312 条道路：108 109 3 2
第 313 条道路：109 110 2 3
第 314 条道路：109 120 6 1
第 315 条道路：110 111 6 2
第 316 条道路：110 131 5 1
第 317 条道路：110 137 3 2
第 318 条道路：111 112 4 1
第 319 条道路：112 113 5 1
第 320 条道路：112 115 2 1
第 321 条道路：112 116 6 1
第 322 条道路：112 138 10 3
第 323 条道路：113 114 9 2
第 324 条道路：113 124 7 2
第 325 条道路：113 127 5 3
第 326 条道路：113 131 9 1
第 327 条道路：114 115 12 1
第 328 条道路：114 134 9 2
第 329 条道路：114 143 6 1
第 330 条道路：115 116 5 1
第 331 条道路：115 117 8 1
第 332 条道路：115 128 10 1
第 333 条道路：116 117 3 1
第 334 条道路：116 121 8 1
第 335 条道路：116 122 11 1
第 336 条道路：117 118 7 1
第 337 条道路：117 130 10 1
第 338 条道路：117 142 3 2
第 339 条道路：118 119 3 1
第 340 条道路：118 128 15 1
第 341 条道路：118 130 2 2
第 342 条道路：118 139 14 1
第 343 条道路：118 144 14 1
第 344 条道路：119 120 12 2
第 345 条道路：119 138 15 1
第 346 条道路：119 140 8 3
第 347 条道路：120 121 9 1
第 348 条道路：120 132 8 2
第 349 条道路：120 137 14 1
第 350 条道路：121 122 3 1
第 351 条道路：121 148 3 2
第 352 条道路：121 150 9 1
第 353 条道路：122 123 6 1
第 354 条道路：122 131 7 2
第 355 条道路：122 142 6 2
第 356 条道路：123 124 3 1
第 357 条道路：123 131 13 3
第 358 条道路：123 143 14 3
第 359 条道路：124 125 7 1
第 360 条道路：124 143 10 1
第 361 条道路：125 126 2 1
第 362 条道路：125 135 10 2
第 363 条道路：125 146 14 2
第 364 条道路：125 150 14 1
第 365 条道路：126 127 3 2
第 366 条道路：126 131 14 1
第 367 条道路：126 144 13 1
第 368 条道路：127 128 8 1
第 369 条道路：127 132 2 3
第 370 条道路：127 134 7 1
第 371 条道路：127 140 7 1
第 372 条道路：128 129 10 1
第 373 条道路：129 130 6 2
第 374 条道路：129 136 6 1
第 375 条道路：129 142 5 3
第 376 条道路：129 147 9 1
第 377 条道路：129 149 14 2
第 378 条道路：130 131 3 3
第 379 条道路：130 136 15 2
第 380 条道路：130 155 13 3
第 381 条道路：131 132 4 1
第 382 条道路：132 133 3 1
第 383 条道路：132 145 14 1
第 384 条道路：133 134 6 1
第 385 条道路：133 155 11 1
第 386 条道路：133 160 14 3
第 387 条道路：134 135 7 1
第 388 条道路：134 148 9 1
第 389 条道路：134 164 12 1
第 390 条道路：135 136 2 2
第 391 条道路：135 144 12 1
第 392 条道路：135 145 2 1
第 393 条道路：136 137 3 1
第 394 条道路：136 141 8 2
第 395 条道路：136 152 4 1
第 396 条道路：136 154 9 2
第 397 条道路：136 157 12 1
第 398 条道路：136 161 4 1
第 399 条道路：137 138 10 1
第 400 条道路：137 145 3 1
第 401 条道路：137 147 5 1
第 402 条道路：137 152 14 3
第 403 条道路：137 156 3 1
第 404 条道路：138 139 7 1
第 405 条道路：138 152 12 1
第 406 条道路：139 140 11 2
第 407 条道路：139 161 3 2
第 408 条道路：140 141 4 2
第 409 条道路：140 152 10 2
第 410 条道路：141 142 9 1
第 411 条道路：141 149 3 1
第 412 条道路：141 161 6 2
第 413 条道路：142 143 6 1
第 414 条道路：143 144 3 2
第 415 条道路：143 163 3 3
第 416 条道路：143 169 4 1
第 417 条道路：143 172 14 1
第 418 条道路：144 145 10 1
第 419 条道路：145 146 8 2
第 420 条道路：145 149 6 2
第 421 条道路：145 154 5 1
第 422 条道路：146 147 4 1
第 423 条道路：146 149 2 2
第 424 条道路：146 150 11 2
第 425 条道路：147 148 3 2
第 426 条道路：147 157 8 1
第 427 条道路：147 168 6 1
第 428 条道路：148 149 9 2
第 429 条道路：148 166 7 1
第 430 条道路：148 170 14 1
第 431 条道路：149 150 3 2
第 432 条道路：149 164 3 2
第 433 条道路：149 176 7 2
第 434 条道路：150 151 8 1
第 435 条道路：150 156 8 1
第 436 条道路：150 166 6 1
第 437 条道路：150 178 11 2
第 438 条道路：151 152 4 2
第 439 条道路：151 153 7 3
第 440 条道路：151 157 11 1
第 441 条道路：151 169 5 1
第 442 条道路：152 153 4 1
第 443 条道路：152 159 4 1
第 444 条道路：152 165 3 1
第 445 条道路：152 169 8 2
第 446 条道路：152 173 14 1
第 447 条道路：152 177 15 1
第 448 条道路：153 154 5 1
第 449 条道路：153 166 6 1
第 450 条道路：153 179 10 2
第 451 条道路：153 181 14 2
第 452 条道路：154 155 10 1
第 453 条道路：154 168 8 3
第 454 条道路：154 174 12 2
第 455 条道路：154 184 3 2
第 456 条道路：155 156 5 1
第 457 条道路：155 174 9 2
第 458 条道路：155 180 14 1
第 459 条道路：156 157 3 1
第 460 条道路：156 161 5 1
第 461 条道路：156 162 10 2
第 462 条道路：156 171 8 1
第 463 条道路：157 158 3 1
第 464 条道路：157 171 12 1
第 465 条道路：157 178 5 1
第 466 条道路：158 159 10 1
第 467 条道路：159 160 10 1
第 468 条道路：160 161 10 2
第 469 条道路：161 162 10 3
第 470 条道路：161 186 10 1
第 471 条道路：162 163 8 3
第 472 条道路：163 164 10 2
第 473 条道路：163 167 3 1
第 474 条道路：163 174 12 2
第 475 条道路：163 178 12 1
第 476 条道路：163 182 11 1
第 477 条道路：164 165 7 1
第 478 条道路：164 186 11 2
第 479 条道路：165 166 2 1
第 480 条道路：165 187 8 1
第 481 条道路：166 167 12 1
第 482 条道路：166 177 10 2
第 483 条道路：167 168 8 2
第 484 条道路：167 170 7 1
第 485 条道路：167 180 4 1
第 486 条道路：167 187 9 1
第 487 条道路：168 169 10 1
第 488 条道路：168 183 15 1
第 489 条道路：169 170 8 1
第 490 条道路：169 178 4 1
第 491 条道路：169 195 7 1
第 492 条道路：170 171 6 1
第 493 条道路：170 173 5 1
第 494 条道路：170 180 3 2
第 495 条道路：171 172 4 1
第 496 条道路：171 186 6 1
第 497 条道路：172 173 7 1
第 498 条道路：173 174 2 1
第 499 条道路：173 190 6 1
第 500 条道路：174 175 8 1
第 501 条道路：174 186 7 1
第 502 条道路：174 192 5 2
第 503 条道路：174 194 14 1
第 504 条道路：175 176 10 1
第 505 条道路：175 185 6 1
第 506 条道路：176 177 4 1
第 507 条道路：176 186 4 2
第 508 条道路：176 200 14 1
第 509 条道路：177 178 7 1
第 510 条道路：177 185 2 1
第 511 条道路：177 191 5 1
第 512 条道路：178 179 9 3
第 513 条道路：179 180 12 1
第 514 条道路：179 185 2 3
第 515 条道路：179 196 6 2
第 516 条道路：180 181 2 1
第 517 条道路：180 186 10 2
第 518 条道路：180 190 4 2
第 519 条道路：180 193 6 2
第 520 条道路：181 182 8 1
第 521 条道路：182 183 2 1
第 522 条道路：182 187 3 1
第 523 条道路：182 196 5 1
第 524 条道路：183 184 11 2
第 525 条道路：184 185 5 2
第 526 条道路：184 187 11 2
第 527 条道路：185 186 4 1
第 528 条道路：185 197 7 2
第 529 条道路：185 200 12 1
第 530 条道路：186 187 3 2
第 531 条道路：186 194 13 1
第 532 条道路：186 197 10 1
第 533 条道路：187 188 8 1
第 534 条道路：188 189 5 1
第 535 条道路：188 194 10 2
第 536 条道路：189 190 7 1
第 537 条道路：189 197 2 1
第 538 条道路：190 191 2 1
第 539 条道路：190 195 5 1
第 540 条道路：191 192 12 1
第 541 条道路：192 193 2 1
第 542 条道路：193 194 12 1
第 543 条道路：194 195 2 2
第 544 条道路：195 196 4 1
第 545 条道路：196 197 11 1
第 546 条道路：197 198 5 1
第 547 条道路：197 199 7 2
第 548 条道路：198 199 11 1
第 549 条道路：199 200 5 2

请输入救护车数量：30
请输入每辆救护车初始所在路口：
救护车 A1 初始所在路口：1
救护车 A2 初始所在路口：3
救护车 A3 初始所在路口：9
救护车 A4 初始所在路口：10
救护车 A5 初始所在路口：26
救护车 A6 初始所在路口：30
救护车 A7 初始所在路口：36
救护车 A8 初始所在路口：48
救护车 A9 初始所在路口：52
救护车 A10 初始所在路口：53
救护车 A11 初始所在路口：60
救护车 A12 初始所在路口：64
救护车 A13 初始所在路口：72
救护车 A14 初始所在路口：75
救护车 A15 初始所在路口：77
救护车 A16 初始所在路口：84
救护车 A17 初始所在路口：90
救护车 A18 初始所在路口：95
救护车 A19 初始所在路口：100
救护车 A20 初始所在路口：106
救护车 A21 初始所在路口：135
救护车 A22 初始所在路口：139
救护车 A23 初始所在路口：143
救护车 A24 初始所在路口：144
救护车 A25 初始所在路口：149
救护车 A26 初始所在路口：166
救护车 A27 初始所在路口：169
救护车 A28 初始所在路口：184
救护车 A29 初始所在路口：191
救护车 A30 初始所在路口：198

请输入急救事件数量：300
请输入每个急救事件信息：
格式：发生时间 事件位置 危急等级 所需专科类型
危急等级：1=普通，2=较急，3=高危
专科类型：1=综合急诊，2=创伤外科，3=心血管急救，4=神经急救，5=儿科急救
事件 E1：0 21 1 2
事件 E2：0 70 3 5
事件 E3：0 181 3 1
事件 E4：0 62 2 1
事件 E5：1 164 2 4
事件 E6：1 144 1 5
事件 E7：2 163 1 5
事件 E8：2 21 1 5
事件 E9：2 23 1 3
事件 E10：3 132 2 5
事件 E11：4 89 2 5
事件 E12：4 20 1 5
事件 E13：4 16 2 1
事件 E14：5 196 1 2
事件 E15：5 167 1 3
事件 E16：6 73 1 1
事件 E17：6 177 1 4
事件 E18：7 1 1 1
事件 E19：7 130 1 4
事件 E20：7 38 1 3
事件 E21：9 76 1 2
事件 E22：10 121 2 5
事件 E23：12 26 1 2
事件 E24：12 86 1 5
事件 E25：12 99 2 3
事件 E26：12 178 1 5
事件 E27：14 147 1 5
事件 E28：16 160 3 4
事件 E29：19 21 2 5
事件 E30：21 142 2 1
事件 E31：21 113 2 1
事件 E32：21 9 1 1
事件 E33：22 68 1 5
事件 E34：24 45 1 2
事件 E35：26 61 2 2
事件 E36：30 66 1 2
事件 E37：30 134 2 5
事件 E38：30 7 2 4
事件 E39：31 56 2 3
事件 E40：31 169 2 1
事件 E41：31 160 3 2
事件 E42：31 68 2 3
事件 E43：32 200 1 1
事件 E44：33 103 2 3
事件 E45：34 122 2 5
事件 E46：34 143 2 3
事件 E47：35 197 2 4
事件 E48：36 109 2 5
事件 E49：36 77 1 1
事件 E50：37 86 2 2
事件 E51：37 55 2 4
事件 E52：39 169 1 1
事件 E53：40 193 1 1
事件 E54：41 189 1 2
事件 E55：41 53 1 2
事件 E56：42 4 2 5
事件 E57：42 167 2 3
事件 E58：43 195 1 4
事件 E59：43 72 1 2
事件 E60：44 13 1 5
事件 E61：44 111 2 1
事件 E62：44 131 2 3
事件 E63：44 45 1 4
事件 E64：45 114 3 5
事件 E65：46 182 2 1
事件 E66：47 7 2 2
事件 E67：47 68 1 4
事件 E68：47 156 2 3
事件 E69：48 67 1 1
事件 E70：48 135 1 4
事件 E71：48 82 3 5
事件 E72：50 75 1 5
事件 E73：51 78 1 3
事件 E74：53 151 1 4
事件 E75：54 116 1 4
事件 E76：55 53 2 4
事件 E77：55 79 3 1
事件 E78：57 86 2 2
事件 E79：57 30 2 1
事件 E80：61 163 1 4
事件 E81：62 53 2 4
事件 E82：64 13 1 4
事件 E83：65 7 2 4
事件 E84：65 177 1 3
事件 E85：65 65 2 2
事件 E86：66 141 1 1
事件 E87：67 79 2 4
事件 E88：68 3 1 2
事件 E89：69 135 2 4
事件 E90：71 44 1 4
事件 E91：73 141 2 2
事件 E92：73 51 1 3
事件 E93：73 98 1 3
事件 E94：75 192 1 2
事件 E95：75 80 2 3
事件 E96：79 3 2 3
事件 E97：79 147 2 3
事件 E98：80 80 1 3
事件 E99：82 114 2 5
事件 E100：83 75 1 4
事件 E101：84 29 2 1
事件 E102：84 167 1 5
事件 E103：88 185 1 3
事件 E104：88 95 1 5
事件 E105：90 51 2 1
事件 E106：90 65 1 5
事件 E107：91 1 1 3
事件 E108：92 180 1 2
事件 E109：92 19 2 2
事件 E110：93 31 1 5
事件 E111：93 130 3 4
事件 E112：95 111 3 1
事件 E113：95 132 3 3
事件 E114：95 186 3 5
事件 E115：96 196 1 5
事件 E116：96 42 1 4
事件 E117：97 130 2 5
事件 E118：97 125 3 5
事件 E119：97 21 2 2
事件 E120：98 16 2 4
事件 E121：101 7 1 4
事件 E122：103 76 1 4
事件 E123：103 120 2 3
事件 E124：104 95 2 5
事件 E125：104 117 1 4
事件 E126：104 156 1 3
事件 E127：107 171 1 4
事件 E128：107 42 3 1
事件 E129：109 134 3 4
事件 E130：109 197 3 4
事件 E131：109 94 1 2
事件 E132：109 33 1 3
事件 E133：110 71 2 1
事件 E134：110 53 3 2
事件 E135：110 103 2 1
事件 E136：111 51 1 3
事件 E137：111 110 1 3
事件 E138：112 122 1 3
事件 E139：113 81 1 3
事件 E140：113 140 2 3
事件 E141：114 151 2 2
事件 E142：114 27 2 4
事件 E143：115 104 3 5
事件 E144：116 161 3 3
事件 E145：117 25 1 3
事件 E146：117 199 3 4
事件 E147：117 10 1 5
事件 E148：118 119 1 2
事件 E149：120 88 1 2
事件 E150：121 104 1 3
事件 E151：122 71 1 3
事件 E152：123 142 2 3
事件 E153：123 130 2 2
事件 E154：124 9 1 3
事件 E155：124 82 2 3
事件 E156：129 180 1 3
事件 E157：130 175 1 1
事件 E158：131 140 1 4
事件 E159：131 157 1 1
事件 E160：133 167 2 4
事件 E161：135 187 1 2
事件 E162：136 79 2 3
事件 E163：136 164 1 3
事件 E164：136 106 1 2
事件 E165：137 184 1 3
事件 E166：137 124 1 2
事件 E167：138 116 1 5
事件 E168：141 159 1 4
事件 E169：144 4 1 1
事件 E170：145 61 1 5
事件 E171：146 141 2 1
事件 E172：146 76 1 4
事件 E173：148 155 2 5
事件 E174：148 131 2 5
事件 E175：148 136 2 4
事件 E176：151 145 2 2
事件 E177：151 156 1 3
事件 E178：153 95 2 5
事件 E179：155 112 3 5
事件 E180：155 57 2 5
事件 E181：156 189 2 4
事件 E182：156 99 1 3
事件 E183：158 195 3 2
事件 E184：159 197 1 1
事件 E185：160 179 1 4
事件 E186：160 5 1 1
事件 E187：160 172 3 5
事件 E188：161 120 2 4
事件 E189：162 73 2 5
事件 E190：163 128 1 2
事件 E191：164 94 2 5
事件 E192：164 145 2 2
事件 E193：165 181 2 2
事件 E194：166 82 1 5
事件 E195：166 63 1 4
事件 E196：167 93 1 3
事件 E197：167 31 1 4
事件 E198：167 179 1 3
事件 E199：169 17 1 3
事件 E200：171 144 3 3
事件 E201：173 172 3 3
事件 E202：174 95 1 5
事件 E203：174 141 1 4
事件 E204：175 94 1 1
事件 E205：175 77 1 1
事件 E206：175 66 1 3
事件 E207：176 31 1 5
事件 E208：176 80 2 3
事件 E209：177 105 1 2
事件 E210：178 86 2 3
事件 E211：179 124 1 1
事件 E212：179 190 1 3
事件 E213：180 176 2 2
事件 E214：180 128 1 5
事件 E215：180 75 1 4
事件 E216：183 195 2 5
事件 E217：183 26 1 3
事件 E218：184 154 2 1
事件 E219：187 62 1 1
事件 E220：188 112 2 1
事件 E221：188 35 2 2
事件 E222：188 197 1 4
事件 E223：188 60 2 2
事件 E224：191 12 2 3
事件 E225：191 24 1 3
事件 E226：191 81 1 4
事件 E227：191 86 1 5
事件 E228：193 49 3 3
事件 E229：193 186 1 2
事件 E230：193 105 2 2
事件 E231：194 196 3 2
事件 E232：195 25 1 5
事件 E233：196 140 1 4
事件 E234：197 174 3 5
事件 E235：198 4 1 1
事件 E236：198 41 1 3
事件 E237：198 140 2 1
事件 E238：199 191 1 4
事件 E239：200 23 1 4
事件 E240：200 151 1 1
事件 E241：201 173 2 5
事件 E242：202 100 3 4
事件 E243：203 156 1 5
事件 E244：203 166 2 1
事件 E245：204 110 1 2
事件 E246：204 129 2 5
事件 E247：204 58 2 2
事件 E248：208 105 1 4
事件 E249：209 121 3 2
事件 E250：209 87 1 5
事件 E251：209 97 2 5
事件 E252：209 73 2 3
事件 E253：210 155 3 4
事件 E254：210 66 1 2
事件 E255：211 12 1 3
事件 E256：212 125 1 2
事件 E257：212 82 1 2
事件 E258：213 200 1 3
事件 E259：213 200 2 3
事件 E260：213 161 2 5
事件 E261：214 196 1 1
事件 E262：214 181 2 1
事件 E263：215 91 2 5
事件 E264：217 2 1 2
事件 E265：220 113 1 2
事件 E266：220 118 1 2
事件 E267：220 126 3 3
事件 E268：221 112 2 4
事件 E269：221 114 1 2
事件 E270：222 95 1 3
事件 E271：223 175 2 5
事件 E272：223 20 2 2
事件 E273：223 128 1 4
事件 E274：224 135 3 3
事件 E275：224 31 2 1
事件 E276：224 154 3 5
事件 E277：226 69 1 4
事件 E278：230 54 1 5
事件 E279：230 52 1 5
事件 E280：231 105 2 3
事件 E281：232 113 1 3
事件 E282：232 32 1 5
事件 E283：233 192 2 5
事件 E284：236 52 1 2
事件 E285：236 34 1 5
事件 E286：237 26 1 3
事件 E287：238 141 2 5
事件 E288：241 94 1 5
事件 E289：242 15 1 4
事件 E290：243 194 1 3
事件 E291：245 23 1 3
事件 E292：246 28 1 2
事件 E293：248 8 1 5
事件 E294：249 162 2 3
事件 E295：249 179 2 4
事件 E296：250 135 1 4
事件 E297：251 121 1 3
事件 E298：252 31 1 4
事件 E299：253 69 3 4
事件 E300：253 163 1 4

请输入医院数量：10
请输入每所医院信息：
格式：医院位置 接收容量 支持专科数量 专科1 专科2 ...
医院 H1：3 40 3 1 2 5
医院 H2：20 40 3 1 2 3
医院 H3：27 45 3 1 2 4
